15.0,12.0,5.0,2.0,4.0,4.0,-1.0,6.0,3.0,6.0,4.0,4.0,5.0,4.0,-1.0,1.0,5.0,3.0,3.0,14.0,4.0,1.0,6.0,630.0,1112.913078639028
24.0,21.0,8.0,7.0,13.0,15.0,4.0,6.0,0.0,3.0,2.0,5.0,5.0,12.0,1.0,8.0,6.0,7.0,14.0,11.0,10.0,2.0,3.0,1890.0,844.3487385481153
15.0,12.0,10.0,2.0,3.0,5.0,7.0,5.0,1.0,8.0,8.0,3.0,2.0,3.0,8.0,3.0,7.0,2.0,5.0,3.0,3.0,8.0,8.0,1551.3415676481488,625.0
24.0,21.0,6.0,4.0,14.0,14.0,1.0,7.0,3.0,6.0,4.0,2.0,6.0,12.0,0.0,6.0,-1.0,6.0,14.0,6.0,15.0,2.0,3.0,1890.0,625.0
24.0,20.0,8.0,0.0,8.0,8.0,12.0,3.0,0.0,10.0,6.0,1.0,14.0,3.0,13.0,10.0,9.0,11.0,7.0,15.0,5.0,4.0,0.0,999.9146286204007,1869.2748734519712
24.0,20.0,4.0,13.0,9.0,16.0,9.0,12.0,0.0,2.0,4.0,2.0,6.0,2.0,15.0,5.0,3.0,2.0,7.0,0.0,11.0,5.0,14.0,988.5759841194099,1826.2486106309402
15.0,21.0,2.0,6.0,0.0,6.0,4.0,10.0,7.0,0.0,15.0,11.0,3.0,6.0,5.0,9.0,3.0,4.0,7.0,0.0,0.0,4.0,0.0,1555.4698548457031,1875.0
24.0,20.0,9.0,6.0,6.0,2.0,3.0,7.0,14.0,16.0,6.0,11.0,8.0,0.0,2.0,4.0,9.0,0.0,12.0,6.0,13.0,14.0,5.0,1740.1471469577498,1707.8845635478447
15.0,15.0,20.0,15.0,3.0,6.0,20.0,10.0,5.0,5.0,12.0,9.0,10.0,10.0,12.0,2.0,11.0,9.0,9.0,12.0,20.0,7.0,4.0,630.0,1871.9331424372717
15.0,17.0,12.0,18.0,9.0,3.0,17.0,8.0,2.0,1.0,20.0,19.0,13.0,4.0,17.0,0.0,5.0,9.0,17.0,11.0,12.0,9.0,9.0,630.0,1803.9356809705496
18.0,20.0,-1.0,0.0,2.0,2.0,0.0,4.0,6.0,4.0,0.0,6.0,5.0,3.0,4.0,5.0,16.0,0.0,0.0,3.0,4.0,1.0,15.0,1682.9459303698663,1875.0
15.0,20.0,0.0,1.0,6.0,9.0,9.0,3.0,-1.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,9.0,7.0,0.0,2.0,8.0,9.0,7.0,1738.4583187330707,1836.1112209663631
15.0,15.0,3.0,3.0,0.0,3.0,9.0,14.0,8.0,7.0,4.0,6.0,6.0,1.0,6.0,15.0,-1.0,5.0,8.0,2.0,0.0,5.0,0.0,967.5676052365495,1841.8265989347055
24.0,21.0,1.0,1.0,5.0,3.0,15.0,7.0,13.0,11.0,-1.0,10.0,8.0,3.0,0.0,4.0,11.0,6.0,12.0,6.0,6.0,5.0,2.0,1629.8967593428918,1620.7643858308224
15.0,20.0,9.0,6.0,8.0,9.0,10.0,3.0,13.0,7.0,8.0,12.0,8.0,4.0,4.0,8.0,3.0,0.0,11.0,7.0,8.0,6.0,12.0,1890.0,625.0
15.0,16.0,5.0,2.0,0.0,1.0,1.0,4.0,0.0,5.0,1.0,0.0,1.0,12.0,4.0,5.0,6.0,0.0,-1.0,-1.0,12.0,1.0,4.0,1684.612393502985,737.6064314351809
15.0,20.0,11.0,2.0,0.0,0.0,1.0,3.0,5.0,11.0,4.0,0.0,1.0,3.0,4.0,6.0,7.0,-1.0,10.0,6.0,10.0,7.0,2.0,1890.0,1107.4034110098337
15.0,12.0,2.0,5.0,7.0,3.0,1.0,6.0,2.0,3.0,6.0,5.0,4.0,2.0,0.0,0.0,2.0,1.0,8.0,10.0,6.0,0.0,3.0,630.0,1176.1166716924845
15.0,17.0,5.0,18.0,17.0,14.0,3.0,6.0,14.0,3.0,8.0,5.0,2.0,5.0,4.0,14.0,5.0,3.0,12.0,12.0,7.0,17.0,4.0,630.0,1755.6904013120666
24.0,21.0,7.0,9.0,15.0,17.0,5.0,6.0,9.0,10.0,7.0,3.0,9.0,15.0,1.0,13.0,11.0,9.0,11.0,16.0,6.0,4.0,2.0,1781.929076674725,1587.3857989797082
16.0,12.0,8.0,0.0,1.0,3.0,8.0,0.0,2.0,8.0,1.0,8.0,7.0,2.0,8.0,0.0,0.0,7.0,7.0,2.0,2.0,0.0,6.0,1445.4998191341674,1681.5282255617162
15.0,16.0,1.0,3.0,3.0,1.0,7.0,2.0,9.0,3.0,3.0,-1.0,9.0,4.0,-1.0,14.0,3.0,8.0,8.0,4.0,14.0,7.0,7.0,1275.3387020614614,1805.0707260085067
