S1_IDR,S2_IDR,S3_IDR,S4_IDR,S5_IDR,S6_IDR,S7_IDR,S8_IDR
0.0019136651,0.004337384,0.0044283564,0.003923532,0.0044112294,0.0039314963,0.004183715,0.004443414
0.0025259024,0.004466794,0.004378356,0.004234252,0.0037914307,0.0037209033,0.004326773,0.0042784563
0.0030841667,0.0043996116,0.0043816566,0.004469339,0.0041670194,0.0036818045,0.0039507714,0.004469517
