5,8,16,32,64,64
5,8,16,32,64,128
5,64,32,16,32,64
5,16,32,64,32,16
5,16,32,64,128,256
5,16,32,64,128,128
5,64,64,32,16,8
5,128,64,32,16,8
5,256,128,64,32,16
5,128,128,64,32,16
4,8,16,32,64,128
4,16,32,32,16,8
4,16,32,64,64,128
4,32,64,32,16,8
4,16,32,64,128,8
4,32,64,128,256,16
4,64,64,32,16,128
4,8,16,32,64,8
4,64,32,16,8,8
4,128,64,32,16,8
4,256,128,64,32,16
3,16,32,16,8,8
3,64,32,16,8,8
3,32,64,128,256,16
3,64,128,256,32,16
3,64,128,64,32,16
3,64,128,128,64,16
3,16,32,64,8,8
3,16,32,16,32,32
3,64,32,64,32,32
3,128,64,32,256,16
3,256,128,64,32,16
